,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
505,"38 SUNNYCREST RD, Toronto, Ontario, M2R 2T4",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+3,3.0,"Hospital, Schools",46.72 x 116.41 FT ; Pie Shaped Lot 70.10 Ft At Rear,Garage,5.0,1.0,114.79,"Wooded area, Ravine",,,"$1,339,000"
506,"106A HOLLIS AVE, Toronto, Ontario, M1N 2C8",Detached,House,Finished,"Brick, Stone",,Freehold,Single Family,3+1,4.0,,34.02 x 100 FT,,2.0,2.0,99.67,,,,"$1,329,000"
507,"123 GORMAN PARK RD, Toronto, Ontario, M3H 3L1",Detached,House,,"Brick, Stone",,Freehold,Single Family,3+3,2.0,,56.07 x 86.38 FT ; As Per Survey,Attached garage,5.0,1.0,86.11,,,,"$1,299,000"
508,"42 PONY FARM DR, Toronto, Ontario, M9R 0B3",Townhouse,Row / Townhouse,Unfinished,Brick,Yes,Freehold,Single Family,4,4.0,,19.69 x 83.53 FT,Garage,3.0,3.0,95.6,,,,"$1,249,900"
509,"272 BOSTON AVE, Toronto, Ontario, M4M 2V3",Semi-Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,3,3.0,"Park, Public Transit, Schools",18.5 x 132 FT,,2.0,2.0,109.77,Lane,,,"$1,199,000"
510,"89 Greylawn Cres, Toronto, ON, M1R 2V7",Detached,,,,,,,7+2,5.0,,,,4.0,2.0,,,,,"$1,179,000"
511,"122 BELL ESTATE RD, Toronto, Ontario, M1L 0A2",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,4+1,4.0,"Park, Public Transit, Schools",30.02 x 83.99 FT,Garage,2.0,2.0,156.89,,,Community Centre,"$1,149,000"
512,"56 CONEY RD, Toronto, Ontario, M8Z 2K8",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+2,2.0,,50 x 120 FT,Attached garage,4.0,1.0,75.02,,,,"$1,100,000"
513,"203 PANNAHILL RD, Toronto, Ontario, M3H 4N9",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,,72.38 x 119.39 FT ; Irreg,Attached garage,6.0,1.0,116.78,,,,"$1,099,900"
514,"81A SHAVER AVE N, Toronto, Ontario, M9B 4N6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,,40 x 150 FT,Detached garage,4.0,1.0,74.27,,,,"$1,099,000"
515,"1B ARDELL AVENUE AVE, Toronto, Ontario, M1K 1K7",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+2,4.0,,20 x 120.01 FT ; As Per Survey,Garage,3.0,2.0,1231.51,,,,"$1,098,000"
516,"2680 LAKE SHORE BLVD W, Toronto, Ontario, M8V 1G8",Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,,25.54 x 156.59 FT ; 25.06Ft X 161.47Ft X 25.54Ft X 156.59Ft,,1.0,2.0,73.03,,,,"$1,079,000"
517,"429 RIMILTON AVE, Toronto, Ontario, M8W 2G6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,2+1,3.0,,44 x 132 FT ; As Per Mpac,Detached garage,6.0,1.0,826.07,,,,"$999,988"
518,"659 ROYAL YORK RD, Toronto, Ontario, M8Y 2T1",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,3.0,Schools,27.99 x 125 FT,,1.0,2.0,,Ravine,,,"$999,900"
519,"71 DON VALLEY DR, Toronto, Ontario, M4K 2J1",Detached,House,Finished,Brick,,Freehold,Single Family,1+2,3.0,"Public Transit, Schools",43.37 x 160.56 FT ; Narrows Slightly To 40.5 Ft At Rear,,4.0,1.0,,"Ravine, Conservation/green belt",,School Bus,"$999,900"
520,"7 CORBETT AVE, Toronto, Ontario, M6N 1V2",Detached,House,Finished,Stucco,,Freehold,Single Family,3+1,3.0,,25 x 112 FT,Detached garage,2.0,2.0,,Lane,,,"$999,777"
521,"163 GLENMOUNT PARK RD N, Toronto, Ontario, M4E 2E3",Semi-Detached,House,Partially finished,"Aluminum siding, Brick",,Freehold,Single Family,3,2.0,,19.75 x 90 FT,,1.0,2.0,,,,,"$999,000"
522,"266 GLEBEMOUNT AVE, Toronto, Ontario, M4C 3T8",Detached,House,Partially finished,Brick,,Freehold,Single Family,3,2.0,,"19 x 97.16 FT ; 22.35' Along Rd, 102.94' Along N Side",,1.0,2.0,93.38,,,,"$999,000"
523,"96 SIXTEENTH ST, Toronto, Ontario, M8V 3K1",Detached,House,Finished,Brick,,Freehold,Single Family,2+1,2.0,,35 x 100 FT,Detached garage,5.0,1.0,65.44999999999999,,,,"$949,000"
524,"16 DON MILLS RD, Toronto, Ontario, M4J 3Z7",Detached,House,Unfinished,Brick,Yes,Freehold,Single Family,3,1.0,,30.75 x 122.75 FT,,3.0,2.0,68.57,,,,"$949,000"
525,"24 BALTIC AVE, Toronto, Ontario, M4J 1S2",Semi-Detached,House,Partially finished,Vinyl,,Freehold,Single Family,3,1.0,"Public Transit, Schools",16 x 125 FT,,,2.0,,,,,"$935,000"
526,"79 Felicity Dr, Toronto, ON, M1H 1E2",Detached,,,,,,,3,2.0,,,,4.0,1.0,75.69,,,,"$899,900"
527,"112 PENDRITH ST, Toronto, Ontario, M6G 1R7",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,"Park, Public Transit",16.08 x 140.25 FT,Detached garage,1.0,2.0,82.50000000000001,Lane,,,"$899,000"
528,"793 WOODBINE AVE, Toronto, Ontario, M4E 2J5",Semi-Detached,House,Finished,"Brick, Concrete",,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",14.5 x 98.5 FT,,2.0,2.0,100.83,,,Community Centre,"$899,000"
529,"69 PEPPER TREE DR, Toronto, Ontario, M1C 1Y5",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",45.21 x 142.71 FT ; Pie Shaped Irregular,Attached garage,6.0,2.0,106.85,Level lot,,,"$889,900"
530,"30 DEMPSTER ST, Toronto, Ontario, M1T 2T4",Detached,House,Finished,Brick,,Freehold,Single Family,3+3,2.0,"Park, Public Transit, Schools",40 x 140 FT ; 50.09 Ft X 130.66 Ft X 40.04 Ft X 140.7,Attached garage,3.0,1.0,117.39,,,,"$888,888"
531,"80 VIRGINIA AVE, Toronto, Ontario, M4C 2S9",Detached,House,Finished,,,Freehold,Single Family,2+1,3.0,"Park, Public Transit, Schools",22.01 x 105 FT,,1.0,2.0,81.38,,,,"$888,000"
532,"5 TELFER GDNS, Toronto, Ontario, M1B 6C2",Detached,House,Finished,Brick,,Freehold,Single Family,4+2,4.0,"Hospital, Public Transit",30.02 x 82 FT,Garage,3.0,2.0,142.26,,,Community Centre,"$875,000"
533,"139 DRIFTWOOD AVE, Toronto, Ontario, M3N 2M9",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,4+1,2.0,,28.22 x 120 FT,,3.0,2.0,,,,,"$849,900"
534,"2650 LAKE SHORE BLVD W, Toronto, Ontario, M8V 1G8",Semi-Detached,House,,"Brick, Vinyl",Yes,Freehold,Single Family,4+1,2.0,"Public Transit, Schools",23.29 x 70 FT,,,2.0,88.37,,,,"$849,000"
535,"12 MCINNES CRES, Toronto, Ontario, M1B 5E6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,4.0,"Hospital, Park, Public Transit, Schools",30 x 103.34 FT,Attached garage,6.0,2.0,125.42,,,School Bus,"$829,400"
536,"90 DELLBROOK CRES, Toronto, Ontario, M9L 1E2",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,,30.3 x 108.98 FT ; Irregular Shape Lot Per Plan Of Survey,Garage,3.0,1.0,77.26999999999998,,,,"$818,888"
537,"24 CORNELL Avenue, Toronto, Ontario, M1N 2Y2",Detached,House,Unfinished,"Aluminum siding, Stone",,Freehold,Single Family,2,1.0,"Golf Course, Public Transit, Marina, Schools",20 x 100,No Garage,1.0,2.0,,"Golf course/parkland, Beach, Paved driveway",,,"$799,900"
538,"378 BEECHGROVE DR, Toronto, Ontario, M1E 4A5",Detached,House,Finished,Brick,,Freehold,Single Family,4+2,2.0,"Park, Public Transit",66 x 128.89 FT,Detached garage,5.0,1.0,93.62,Ravine,,,"$799,900"
539,"51 SUNDIAL CRES, Toronto, Ontario, M4A 2J7",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,4,3.0,"Park, Schools",30 x 130.94 FT ; S/T Easement 4Ft As In A16578,,3.0,2.0,112.0,,,,"$791,888"
540,"60 HERON PARK PL, Toronto, Ontario, M1E 0B8",Townhouse,Row / Townhouse,,Brick,,Freehold,Single Family,3,3.0,,14.44 FT ; 4003.64 Sq.Feet,Attached garage,3.0,,,,,,"$790,000"
541,"119 ST LUCIE DR, Toronto, Ontario, M9M 1T4",Semi-Detached,House,,Brick,,Freehold,Single Family,4,1.0,,29 x 187.5 FT,,3.0,2.0,74.77000000000002,,,,"$749,900"
542,"7 AMBERCROFT BLVD, Toronto, Ontario, M1W 2Z6",Townhouse,Row / Townhouse,Finished,Brick,Yes,Freehold,Single Family,3+1,3.0,,20.06 x 117.56 FT,Attached garage,2.0,2.0,77.17999999999998,,,,"$749,000"
543,"922A DANFORTH RD, Toronto, Ontario, M1K 1H9",Detached,House,,Aluminum siding,,Freehold,Single Family,3+3,2.0,"Hospital, Public Transit, Schools",62 x 113 FT ; Irregular,,2.0,1.0,57.92,,,,"$725,000"
544,"3775A ST. CLAIR AVE E, Toronto, Ontario, M1M 1V1",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3+1,3.0,"Marina, Public Transit, Schools",14.9 x 69.16 FT,Garage,2.0,2.0,62.56,,,,"$724,999"
545,"158 FIFTH ST, Toronto, Ontario, M8V 2Z7",Detached,House,Partially finished,Brick,Yes,Freehold,Single Family,2+1,2.0,,30 x 118 FT,,3.0,1.0,,,,,"$699,999"
546,"160 Aylesworth Ave, Toronto, ON, M1N 2J6",Detached,,,,,,,1+1,2.0,,,,1.0,1.0,35.29,,,,"$699,900"
547,"54 CHAD CRES, Toronto, Ontario, M1B 2Z6",Detached,House,Finished,"Aluminum siding, Brick",Yes,Freehold,Single Family,3+1,3.0,,24.9 x 117.96 FT ; Irreg,Attached garage,4.0,2.0,76.79,,,,"$699,000"
548,"530 OLD WESTON RD, Toronto, Ontario, M6N 3B1",Semi-Detached,House,,Brick,Yes,Freehold,Single Family,3+1,2.0,,24 x 124 FT,Detached garage,1.0,2.0,81.18,,,,"$699,000"
549,"62 LILY CUP AVE, Toronto, Ontario, M1L 0H4",Townhouse,Row / Townhouse,,"Brick, Stone",,Freehold,Single Family,2,2.0,"Park, Public Transit, Schools",13.78 x 77.33 FT,Garage,2.0,3.0,86.15,"Ravine, Lane",,,"$649,999"
550,"2 ROCKVALE AVE, Toronto, Ontario, M6E 3A9",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,,18.46 x 99 FT,,3.0,2.0,63.64,,,,"$599,000"
551,"90 BURNDALE AVE, Toronto, Ontario, M2N 1S7",Detached,House,Finished,"Stone, Wood",Yes,Freehold,Single Family,3,4.0,"Park, Public Transit, Schools",62.17 x 117.66 FT,Detached garage,8.0,2.0,96.59,,,,"$4,888,000"
552,"501 RUSSELL HILL RD, Toronto, Ontario, M5P 2T1",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,6,7.0,"Park, Public Transit, Schools",93 x 104.97 FT ; In Shape As Per 2018 Survey,Attached garage,6.0,3.0,272.5,,,,"$4,695,000"
553,"97 BURNETT AVE, Toronto, Ontario, M2N 1V4",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,4+1,7.0,"Park, Public Transit, Schools",50 x 117.66 FT,Attached garage,4.0,2.0,255.56000000000003,,,,"$3,988,800"
554,"2 INDIAN GRVE, Toronto, Ontario, M6R 2Y2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,"Public Transit, Schools",85.01 x 90 FT,Attached garage,3.0,3.0,165.85,,,Community Centre,"$3,749,000"
555,"73 CHATSWORTH DR, Toronto, Ontario, M4R 1R8",Detached,House,Partially finished,"Brick, Stucco",Yes,Freehold,Single Family,5,4.0,"Hospital, Park, Public Transit, Schools",41.33 x 275 FT,,2.0,2.0,164.06,Ravine,,,"$3,595,000"
556,"148 SHELDRAKE BLVD, Toronto, Ontario, M4P 2B5",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,5.0,,50 x 150 FT,Garage,4.0,2.0,151.72,,,,"$3,449,000"
557,"41A ORIOLE RD, Toronto, Ontario, M4V 2E6",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,5.0,"Park, Public Transit, Schools",25 x 135 FT,Attached garage,4.0,3.0,136.39,,,,"$3,198,000"
558,"10 OLD MILL TERR, Toronto, Ontario, M8X 1A2",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,5,4.0,"Hospital, Park, Public Transit, Schools",95 x 99 FT,Garage,5.0,3.0,158.83,,,,"$2,995,000"
559,"1 GARDENIA CRT, Toronto, Ontario, M2M 4G2",Detached,House,Finished,Stone,Yes,Freehold,Single Family,6+1,10.0,"Park, Public Transit, Schools",52 x 185 FT,Garage,9.0,2.0,374.33,,,,"$2,995,000"
560,"8 LAWNVIEW DR, Toronto, Ontario, M2N 5J8",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,5+1,7.0,Schools,70.09 x 117.58 FT ; As Per Survey,Attached garage,9.0,2.0,212.05,Cul-de-sac,,,"$2,990,000"
561,"95 NORTHERN DANCER BLVD, Toronto, Ontario, M4L 3Z8",Detached,House,Finished,"Vinyl, Wood",Yes,Freehold,Single Family,3+2,4.0,"Park, Public Transit",23.98 x 106.66 FT,Detached garage,2.0,3.0,150.94,Lane,,,"$2,680,000"
562,"100 SOUTH KINGWAY ST, Toronto, Ontario, M6S 3T3",Detached,House,Finished,Stone,,Freehold,Single Family,3+2,4.0,,33 x 126 FT,Carport,3.0,2.0,,Ravine,,,"$2,500,000"
563,"17 HILL GARDEN RD, Toronto, Ontario, M9P 1X8",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4+1,5.0,,60 x 159.2 FT ; 147.9 On The West Side,Attached garage,8.0,2.0,161.77,,,,"$2,498,000"
564,"33 DORSEY DR, Toronto, Ontario, M6L 1S9",Detached,House,,Brick,Yes,Freehold,Single Family,4,5.0,"Hospital, Park, Public Transit, Schools",60 x 146 FT,Garage,8.0,2.0,362.52,,,,"$2,488,800"
565,"218 RUSHOLME RD, Toronto, Ontario, M6H 2Y8",Detached,House,Finished,Brick,,Freehold,Single Family,6+1,4.0,"Hospital, Park, Public Transit, Schools",27 x 147 FT,Detached garage,4.0,,,,,Community Centre,"$2,399,000"
566,"40 HUNT CLUB DR, Toronto, Ontario, M1N 2X1",Detached,House,Finished,Stone,Yes,Freehold,Single Family,4+1,5.0,,33.33 x 113.93 FT ; 96.87Ft X 43.79Ft X 113.93Ft X 33.3Ft,Garage,3.0,2.0,,,,,"$2,175,000"
567,"79 LESGAY CRES, Toronto, Ontario, M2J 2J2",Detached,House,Unfinished,Brick,,Freehold,Single Family,5,5.0,,157.41 x 118.42 FT,Garage,4.0,2.0,194.44000000000003,,,,"$2,099,000"
568,"251 LAKE SHORE DR, Toronto, Ontario, M8V 2A7",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,2,2.0,,31.54 x 167.92 FT ; 31.54X151.66X3.47X15.52X17.34X167.92,,2.0,1.0,50.38,,,,"$1,950,000"
569,"#B -25 NORTHCOTE AVE, Toronto, Ontario, M6J 3K2",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3,3.0,"Park, Public Transit, Schools",25.87 x 123.19 FT,Detached garage,1.0,3.0,96.89,Lane,,Community Centre,"$1,895,000"
570,"1190 ISLINGTON AVE, Toronto, Ontario, M8Z 4T1",Detached,House,,Brick,,Freehold,Single Family,3+1,3.0,,33 x 120 FT,Garage,3.0,2.0,123.4,,,,"$1,800,000"
571,"31 BIRCH AVE, Toronto, Ontario, M4V 1E1",Townhouse,Row / Townhouse,,Stucco,Yes,Freehold,Single Family,3,2.0,"Park, Public Transit",16.67 x 85.5 FT,,,2.0,91.44,,,,"$1,799,000"
572,"39 MELROSE AVE, Toronto, Ontario, M5M 1Y6",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,3+1,3.0,,25 x 93 FT,,2.0,2.0,109.12,,,,"$1,698,800"
573,"106 VIEWMOUNT AVE, Toronto, Ontario, M6B 1T6",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",50 x 140 FT,,6.0,2.0,93.4,,,,"$1,649,000"
574,"670 GREENWOOD AVE, Toronto, Ontario, M4J 4B5",Detached,House,Finished,Concrete,Yes,Freehold,Single Family,3+2,5.0,,20 x 100 FT,,1.0,2.0,121.82,,,,"$1,629,000"
575,"73 CENTRE AVE, Toronto, Ontario, M2M 2L4",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,3.0,,42.5 x 150 FT ; Fenced,Attached garage,4.0,1.0,89.72,,,,"$1,588,000"
576,"11 PARRAVANO CRT, Toronto, Ontario, M2R 3S8",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+2,3.0,"Park, Public Transit, Schools",46 x 105 FT ; Widens @ Rear To 70 Feet,Detached garage,4.0,1.0,94.13,Cul-de-sac,,,"$1,528,800"
577,"220 ROBINA AVE, Toronto, Ontario, M6C 3Z1",Detached,House,Finished,Stucco,Yes,Freehold,Single Family,3,3.0,"Park, Public Transit, Schools",25 x 105.5 FT,Detached garage,5.0,2.0,81.25000000000001,,,,"$1,525,000"
578,"64 STEPHEN DR, Toronto, Ontario, M8Y 3M9",Detached,House,Finished,Brick,,Freehold,Single Family,4+1,3.0,"Hospital, Park, Public Transit, Schools",44 x 119.31 FT,Detached garage,7.0,2.0,1042.76,,,,"$1,379,000"
579,"184 CORNELIUS PKWY, Toronto, Ontario, M6L 2K9",Detached,House,Finished,Stucco,,Freehold,Single Family,3,2.0,"Hospital, Park, Schools",50 x 156.5 FT,Attached garage,7.0,1.0,,,,,"$1,349,900"
580,"793 WINDERMERE AVE, Toronto, Ontario, M6S 3M5",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,"Public Transit, Schools",20.01 x 147 FT,Detached garage,2.0,2.0,69.66000000000001,,,,"$1,347,000"
581,"142 LAPPIN AVE, Toronto, Ontario, M6H 1Y5",Detached,House,Finished,,,Freehold,Single Family,3,3.0,,20 x 100 FT,Detached garage,1.0,2.0,89.86,Lane,,,"$1,328,000"
582,"33 THORNDALE AVE, Toronto, Ontario, M8X 1W8",Detached,House,Finished,Brick,,Freehold,Single Family,2,1.0,"Park, Public Transit, Schools",40 x 100 FT,Detached garage,2.0,1.0,108.94,,,School Bus,"$1,299,000"
583,"422 MONTROSE AVE, Toronto, Ontario, M6G 3H1",Semi-Detached,House,,Stone,,Freehold,Single Family,3,2.0,,15 x 118.5 FT,Detached garage,2.0,2.0,,Lane,,,"$1,249,000"
584,"636 MORTIMER AVE, Toronto, Ontario, M4C 2J8",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3,2.0,"Hospital, Public Transit, Schools",20.48 x 101.37 FT,,2.0,2.0,82.23000000000002,Lane,,,"$1,245,000"
585,"32 LANDFAIR CRES, Toronto, Ontario, M1J 3A7",Detached,House,Finished,Brick,Yes,Freehold,Single Family,2+1,3.0,"Park, Public Transit, Schools",58.9 x 112.33 FT,Attached garage,4.0,1.0,202.87,Ravine,,,"$1,199,900"
586,"23 RHYL AVE, Toronto, Ontario, M4L 1R8",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3+1,4.0,,16.24 x 91 FT,,1.0,2.0,70.47,,,,"$1,199,000"
587,"172 FIFTH ST, Toronto, Ontario, M8V 2Z7",Detached,House,Finished,Brick,,Freehold,Single Family,4,2.0,"Park, Public Transit, Schools",25 x 118 FT,Detached garage,2.0,2.0,93.68,Lane,,,"$1,199,000"
588,"237 WESTMOUNT AVE, Toronto, Ontario, M6E 3M9",Detached,House,Finished,Brick,,Freehold,Single Family,3,4.0,,25 x 118.91 FT,,1.0,2.0,82.17999999999998,,,,"$1,199,000"
589,"568 RUSTIC RD, Toronto, Ontario, M6L 1Y3",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,,60.25 x 129.58 FT,Attached garage,6.0,,,,,,"$1,199,000"
590,"100 LINNSMORE CRES, Toronto, Ontario, M4J 4K4",Detached,House,Unfinished,Brick,,Freehold,Single Family,3,1.0,"Hospital, Public Transit, Schools",20.91 x 100 FT,Carport,1.0,2.0,78.09,,,Community Centre,"$1,149,900"
591,"24 Pony Farm DR, Toronto, ON, M9R 4B2",Townhouse,,Finished,Brick,,,,3+1,3.0,"Hospital, Public Transit, Schools",24.28 x 88.68 FT,Garage,3.0,2.0,154.34,,,,"$1,149,000"
592,"18 ST CLARENS AVE, Toronto, Ontario, M6K 2S3",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3+1,2.0,,15.26 x 65 FT,,,3.0,100.47,,,,"$1,099,900"
593,"65 RAVINA CRES, Toronto, Ontario, M4J 3L9",Semi-Detached,House,Partially finished,"Brick, Vinyl",,Freehold,Single Family,3,2.0,,20.17 x 100 FT,,1.0,2.0,104.42,,,,"$1,099,000"
594,"25 Tommy Douglas Gdns, Toronto, ON, M6B 4N3",Townhouse,,,,,,,3,3.0,,,,2.0,6.0,132.51999999999998,,,,"$1,075,000"
595,"23 ALEXIS BLVD, Toronto, Ontario, M3H 2P2",Detached,House,,Brick,,Freehold,Single Family,3+2,2.0,"Park, Public Transit, Schools, Ski area",43.16 x 161 FT ; No Survey,,3.0,1.0,74.72,,,,"$999,900"
596,"342 MCROBERTS AVE, Toronto, Ontario, M6E 4P9",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",18 x 127 FT,Attached garage,2.0,2.0,101.95,Lane,,Community Centre,"$999,900"
597,"20 Cherrywood Ave, Toronto, ON, M6C 2X2",Semi-Detached,,,,,,,2+1,2.0,,,,2.0,2.0,,,,,"$999,000"
598,"363 MOUNT PLEASANT RD, Toronto, Ontario, M4T 2C7",Semi-Detached,House,Finished,,,Freehold,Single Family,2+1,2.0,,14.01 x 120 FT,,1.0,2.0,,,,,"$999,000"
599,"44 RHODES AVE, Toronto, Ontario, M4L 2Z9",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",14.08 x 110 FT ; Copy Of Survey Dated 1981 Available,,,2.0,82.89,,,Community Centre,"$999,000"
600,"17 BETHLEY DR, Toronto, Ontario, M1E 3M6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,3.0,"Park, Public Transit, Schools",50 x 135 FT ; Irregular,Attached garage,4.0,2.0,126.03,Ravine,,,"$999,000"
601,"75 MORNING DEW RD, Toronto, Ontario, M1E 3X4",Detached,House,,Brick,Yes,Freehold,Single Family,3+2,3.0,"Hospital, Park",70 x 100 FT,Garage,6.0,2.0,112.75,,,,"$969,900"
602,"22 WARDELL ST, Toronto, Ontario, M4M 2L5",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",15 x 53.5 FT,,,2.0,62.26000000000001,,,Community Centre,"$949,900"
603,"16 WATERCLIFFE RD, Toronto, Ontario, M9W 4E6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,3.0,Public Transit,58 x 100 FT ; No Survey Available,Attached garage,4.0,2.0,75.84,,,,"$924,950"
604,"54 DAIRY DR, Toronto, Ontario, M1L 0G2",Semi-Detached,House,,Brick,Yes,Freehold,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",28.54 x 83.99 FT,Garage,3.0,2.0,127.22,,,Community Centre,"$899,000"
605,"42 FRATER AVE, Toronto, Ontario, M4C 2H6",Detached,House,Finished,Aluminum siding,Yes,Freehold,Single Family,1+1,2.0,"Hospital, Park, Public Transit, Schools",20 x 103 FT,,,1.0,53.27,,,,"$899,000"
606,"78 THURROCK RD, Toronto, Ontario, M3L 1P8",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,3+1,2.0,,31.12 x 120.55 FT,Detached garage,5.0,2.0,94.56,Cul-de-sac,,,"$849,900"
607,"114 Sentinel Rd, Toronto, ON, M3J 1S9",Semi-Detached,,,,,,,3+3,3.0,,,,4.0,2.0,,,,,"$849,900"
608,"28 MUIRLANDS DR, Toronto, Ontario, M1V 2B4",Detached,House,Finished,"Aluminum siding, Brick",,,Single Family,3+1,3.0,,25.03 x 111.99 FT,Attached garage,3.0,2.0,90.69,,,,"$799,000"
609,"304 BROCK AVE, Toronto, Ontario, M6K 2M4",Townhouse,Row / Townhouse,,Brick,,Freehold,Single Family,3+3,3.0,,16.67 x 90 FT,,,,,,,,"$799,000"
610,"395 THE WESTWAY, Toronto, Ontario, M9R 1H3",Townhouse,Row / Townhouse,,Stucco,,Freehold,Single Family,3,2.0,"Hospital, Park, Public Transit, Schools",14.4 x 59.45 FT,Garage,2.0,3.0,,,,,"$799,000"
611,"26 GOLDWIN AVE, Toronto, Ontario, M6M 2C4",Semi-Detached,House,,"Stone, Vinyl",,Freehold,Single Family,2+1,3.0,,32 x 140 FT,,4.0,2.0,87.51,,,,"$789,000"
612,"9 MANTELLO DR, Toronto, Ontario, M3J 0H6",Townhouse,Row / Townhouse,Finished,,,Freehold,Single Family,3+1,3.0,,15.09 x 79 FT,Attached garage,3.0,2.0,93.66,,,,"$749,000"
613,"135 HORSELEY HILL DR, Toronto, Ontario, M1B 1W4",Townhouse,Row / Townhouse,Finished,"Brick, Vinyl",,Freehold,Single Family,3,2.0,,20 x 150 FT,Attached garage,3.0,2.0,69.38,,,,"$688,000"
614,"38 HILLDALE RD, Toronto, Ontario, M6N 3Y2",Detached,House,Unfinished,Wood,,Freehold,Single Family,1,1.0,,39.99 x 100 FT,Detached garage,4.0,,,,,,"$499,900"
615,"55 OLD FOREST HILL RD, Toronto, Ontario, M5P 2R1",Detached,House,,Stone,Yes,Freehold,Single Family,7,14.0,,110 x 115 FT ; Irregular Lot As Per Geo Warehouse,Attached garage,10.0,2.0,310.2600000000001,,,,"$14,999,000"
616,"28-30 LANGLEY AVE, Toronto, Ontario, M4K 1B5",Fourplex,Multi-Family,,,,,Multi-family,,,,60 x 119 FT,,,,,,,,"$8,999,000"
617,"273 GLEN MANOR DR E, Toronto, Ontario, M4E 2Y4",Detached,House,Finished,Stone,Yes,Freehold,Single Family,5+1,6.0,"Park, Schools",93 x 135 FT,Attached garage,5.0,3.0,326.31,Ravine,,Community Centre,"$5,999,999"
618,,Detached,,,,,,,,,,Feet,,,,,,,,"$3,188,888"
619,"259 DUNVIEW AVE, Toronto, Ontario, M2N 4J3",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,4,7.0,,50 x 130 FT,Attached garage,6.0,2.0,207.87,,,,"$3,185,000"
620,"166 HAMMERSMITH AVE, Toronto, Ontario, M4E 2W8",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,"Park, Public Transit, Schools",30 x 135 FT,Detached garage,3.0,3.0,191.12,Ravine,,,"$3,149,000"
621,"76 LORRAINE DR, Toronto, Ontario, M2N 2E8",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,4+1,6.0,"Park, Public Transit, Schools","60.01 x 125 FT ; Elevator! Fence,Deck,Gate,Patio In Bkyrd",Garage,6.0,2.0,,Level lot,,Community Centre,"$3,088,000"
